시점,읍면동별(1),세대수,등록인구,등록인구,등록인구,등록인구,등록인구,등록인구,등록인구,등록인구,등록인구
시점,읍면동별(1),소계,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인
시점,읍면동별(1),소계,소계,남,여,소계,남,여,소계,남,여
2022.1,합계,217630,505493,258899,246594,493938,250677,243261,11555,8222,3333
2022.1,문산읍,21901,48739,25181,23558,47930,24713,23217,809,468,341
2022.1,조리읍,12819,30277,15663,14614,29171,14820,14351,1106,843,263
2022.1,법원읍,5583,10940,6000,4940,10260,5473,4787,680,527,153
2022.1,파주읍,7669,14723,8063,6660,13936,7415,6521,787,648,139
2022.1,광탄면,5878,12704,7526,5178,10929,5981,4948,1775,1545,230
2022.1,탄현면,7351,14461,8233,6228,13343,7319,6024,1118,914,204
2022.1,월롱면,7324,10296,7107,3189,9576,6469,3107,720,638,82
2022.1,적성면,3677,7592,4201,3391,7282,3963,3319,310,238,72
2022.1,파평면,2076,4064,2218,1846,3770,1996,1774,294,222,72
2022.1,장단면,307,741,388,353,720,379,341,21,9,12
2022.1,교하동,26067,65760,33402,32358,64626,32583,32043,1134,819,315
2022.1,운정1동,21695,53130,26152,26978,52617,25880,26737,513,272,241
2022.1,운정2동,23924,62486,30391,32095,62197,30288,31909,289,103,186
2022.1,운정3동,34503,87137,42400,44737,86444,42086,44358,693,314,379
2022.1,금촌1동,12650,22964,12296,10668,22357,12008,10349,607,288,319
2022.1,금촌2동,13017,32326,15790,16536,32074,15695,16379,252,95,157
2022.1,금촌3동,11189,27153,13888,13265,26706,13609,13097,447,279,168
